Family,GA,HWFM,EOS
z15 T02,2020-05-15,,
z15,2019-09-23,,
z14 ZR1,2018-05-31,2021-09-30,
z14,2017-09-13,2021-06-30,
z13s,2016-03-10,2019-06-30,
z13,2015-03-09,2019-06-30,
zBC12,2013-09-20,2016-12-31,
zEC12,2012-09-19,2016-12-31,
z114,2011-09-09,2014-06-30,
z196,2010-09-10,2014-06-30,2021-12-31
z10 BC,2008-10-28,2012-06-30,2019-12-31
z10 EC,2008-02-26,2012-06-30,2019-12-31
z9 BC,2006-05-26,2010-06-30,2019-01-31
z9 EC,2005-09-16,2010-06-30,2017-10-31
z890,2004-05-24,2007-12-31,2016-10-31
z990,2003-06-16,2008-06-30,2014-12-31
z900 G2,2002-05-15,2006-06-30,2014-12-31
z800,2002-03-29,2005-12-31,2014-12-31
z900 G1,2000-12-18,2006-06-30,2014-12-31
CMOS G6,1999-05-28,2004-12-31,2010-12-31
CMOS G5,1998-09-30,2003-12-31,2010-12-31
CMOS G4,1997-06-30,2002-04-20,2007-12-31
CMOS G3,1996-09-30,1999-07-20,2006-12-31
CMOS G2,1995-07-31,1998-12-31,2004-12-31
CMOS G1,1994-09-13,1998-12-31,2003-12-31
